77/10 02S 146E     3 
77/10 03S 149E     7 
77/10 04S 150E    13 
                     AY02118                U    
77/10 04S 151E     2 
77/10 04S 153E     1 
77/10 06S 152E     2 
77/10 08S 155E  1177 
                     SC02571 78/03 19S 177E PL FJ
                     SC02514 78/03 19S 177E PL FJ
                     SC02500 78/03 19S 177E PL FJ
                     SC02384 78/03 19S 177E PL FJ
                     SC02745 78/03 19S 177E PL FJ
                     SC00584 78/03 19S 177E PL FJ
                     SC02290 78/03 19S 177E PL FJ
                     SC03804 78/03 19S 177E PL FJ
                     SC03917 78/03 19S 177E PL FJ
                     SC03806 78/03 20S 177E PL FJ
                     SC02808 78/03 20S 177E PL FJ
                     SC02906 78/03 20S 177E PL FJ
                     SC03003 78/03 20S 177E PL FJ
                     SC03074 78/04 17S 179E PL FJ
                     SC03170 78/04 17S 179E PL FJ
                     SC02502 78/04 18S 179E PL FJ
                     SC03173 78/04 18S 179E PL FJ
                     SC02842 78/04 18S 179E PL FJ
                     SC02487 78/05 17S 179E PL FJ
                     SC03287 78/05 17S 179E PL FJ
                     SC03079 78/06          PL FJ
                     SC02397 78/06 17S 179E PL FJ
                     SC02312 78/06 18S 180W PL FJ
                     SC02781 78/11          PL FJ
                     SC02945 78/11          PL FJ
                     SC04304 78/11          PL FJ
                     SC02289 79/10 20N 163E PL JP
78/02 19S 178E    50 
                     SC00505 78/02 19S 177E PL FJ
                     SC02237 78/02 20S 177E PL FJ
                     SC02228 78/03 19S 177E PL FJ
                     SC00508 78/03 19S 177E PL FJ
                     SC02233 78/03 20S 177E PL FJ
78/02 19S 179E   251 
                     SC03740 78/02 19S 177E PL FJ
                     SC04082 78/02 19S 177E PL FJ
                     SC04075 78/02 19S 177E PL FJ
                     SC03756 78/03 18S 179E PL FJ
                     SC03603 78/03 19S 177E PL FJ
                     SC04100 78/03 19S 177E PL FJ
                     SC04071 78/04 17S 179E PL FJ
                     SC03710 78/05 17S 179E PL FJ
                     SC03639 78/07 17S 179E PL FJ
                     SC04101 78/07 22S 176W PL TO
                     SC03831 78/11          PL FJ
                     SC03726 79/02          PS US
                     SC03859 79/05 19S 175W PL TO
78/02 20S 177E  1080 
                     SC00425 78/02 19S 177E PL FJ
                     SC00427 78/02 19S 177E PL FJ
                     SC00437 78/02 19S 177E PL FJ
                     SC00448 78/02 19S 177E PL FJ
                     SC00949 78/02 19S 177E PL FJ
                     SC00926 78/02 19S 177E PL FJ
                     SC00921 78/02 19S 177E PL FJ
                     SC00755 78/02 19S 177E PL FJ
                     SC00721 78/02 19S 177E PL FJ
                     SC00469 78/02 19S 177E PL FJ
                     SC00474 78/02 19S 177E PL FJ
                     SC00480 78/02 19S 177E PL FJ
                     SC02196 78/02 19S 177E PL FJ
                     SC00177 78/02 19S 177E PL FJ
                     SC00205 78/02 19S 177E PL FJ
                     SC00212 78/02 19S 177E PL FJ
                     SC00254 78/02 19S 177E PL FJ
                     SB01642 78/02 19S 177E PL FJ
                     SB01976 78/02 19S 177E PL FJ
                     SB01806 78/02 19S 177E PL FJ
                     SB01829 78/02 19S 177E PL FJ
                     SB01915 78/02 19S 177E PL FJ
                     SB01855 78/02 19S 177E PL FJ
                     SB01659 78/02 19S 177E PL FJ
                     SB01451 78/02 19S 178E PL FJ
                     SB01874 78/02 19S 178E PL FJ
                     SC00302 78/02 19S 178E PL FJ
                     SC00340 78/02 19S 178E PL FJ
                     SB01760 78/02 20S 177E PL   
                     SB01846 78/02 20S 177E PL   
                     SB01846 78/02 20S 177E PL   
                     SB01441 78/02 20S 177E PL FJ
                     SB01446 78/02 20S 177E PL FJ
                     SB01652 78/02 20S 177E PL FJ
                     SB01687 78/02 20S 177E PL FJ
                     SB01698 78/02 20S 177E PL FJ
                     SB01767 78/02 20S 177E PL FJ
                     SB01788 78/02 20S 177E PL FJ
                     SB01779 78/02 20S 177E PL FJ
                     SB01890 78/02 20S 177E PL FJ
                     SB01886 78/02 20S 177E PL FJ
                     SB01877 78/02 20S 177E PL FJ
                     SB01861 78/02 20S 177E PL FJ
                     SB01837 78/02 20S 177E PL FJ
                     SB01807 78/02 20S 177E PL FJ
                     SB01804 78/02 20S 177E PL FJ
                     SB01793 78/02 20S 177E PL FJ
                     SB01974 78/02 20S 177E PL FJ
                     SB01960 78/02 20S 177E PL FJ
                     SB01932 78/02 20S 177E PL FJ
                     SB01931 78/02 20S 177E PL FJ
                     SB01919 78/02 20S 177E PL FJ
                     SB01909 78/02 20S 177E PL FJ
                     SB01901 78/02 20S 177E PL FJ
                     SB01900 78/02 20S 177E PL FJ
                     SB01898 78/02 20S 177E PL FJ
                     SB01758 78/02 20S 177E PL FJ
                     SB01700 78/02 20S 177E PL FJ
                     SB01696 78/02 20S 177E PL FJ
                     SB01665 78/02 20S 177E PL FJ
                     SB01636 78/02 20S 177E PL FJ
                     SC00005 78/02 20S 177E PL FJ
                     SC00009 78/02 20S 177E PL FJ
                     SC00018 78/02 20S 177E PL FJ
                     SC00053 78/02 20S 177E PL FJ
                     SC00064 78/02 20S 177E PL FJ
                     SC00080 78/02 20S 177E PL FJ
                     SC00104 78/02 20S 177E PL FJ
                     SC00192 78/02 20S 177E PL FJ
                     SC00168 78/02 20S 177E PL FJ
                     SC00266 78/02 20S 177E PL FJ
                     SC00261 78/02 20S 177E PL FJ
                     SC00253 78/02 20S 177E PL FJ
                     SC00240 78/02 20S 177E PL FJ
                     SC00229 78/02 20S 177E PL FJ
                     SC00228 78/02 20S 177E PL FJ
                     SC00223 78/02 20S 177E PL FJ
                     SC00217 78/02 20S 177E PL FJ
                     SC00336 78/02 20S 177E PL FJ
                     SC00335 78/02 20S 177E PL FJ
                     SC00334 78/02 20S 177E PL FJ
                     SC00333 78/02 20S 177E PL FJ
